Complete Payment,Pembayaran Selesai
Cannot remove last serial,Tidak dapat menghapus nomor seri terakhir
Remove serial,Hapus nomor seri
Serial No:,Nomor Seri:
Click to edit serials,Klik untuk mengedit serial
Edit serials,Edit serial
serials,serial
Stock Lookup,Pencarian Saham
Search for item availability across all warehouses,Cari ketersediaan barang di semua gudang
Search for items across warehouses,Cari barang di berbagai gudang
Type to search items...,Ketik untuk mencari item...
"Search by item name, code, or scan barcode","Cari berdasarkan nama barang, kode, atau pindai kode batang."
"No items found for ""{0}""","Tidak ada item yang ditemukan untuk ""{0}"""
Try a different search term,Coba kata kunci pencarian yang berbeda
Search Again,Cari Lagi
Search for an item,Cari suatu barang
Start typing to see suggestions,Mulai mengetik untuk melihat saran.
Navigate,Navigasi
Enter,Memasuki
Esc,Esc
Total Available,Total Tersedia
in 1 warehouse,di 1 gudang
in {0} warehouses,di gudang {0}
{0} reserved,0} dicadangkan
Actual Stock,Stok Aktual
This item is out of stock in all warehouses,Barang ini habis stok di semua gudang.
Failed to load warehouse availability,Gagal memuat ketersediaan gudang
Close dialog,Tutup dialog
Clear search,Hapus pencarian
Click to view availability in other warehouses,Klik untuk melihat ketersediaan di gudang lain
Credit Sale Return,Pengembalian Penjualan Kredit
This invoice was paid on account (credit sale). The return will reverse the accounts receivable balance. No cash refund will be processed.,Faktur ini dibayar secara kredit (penjualan kredit). Pengembalian akan membalikkan saldo piutang. Tidak ada pengembalian uang tunai yang akan diproses.
Customer Credit:,Kredit Pelanggan:
This return was against a Pay on Account invoice. The accounts receivable balance has been reversed. No cash refund was processed.,Pengembalian ini terkait dengan faktur pembayaran di muka. Saldo piutang telah dibalik. Tidak ada pengembalian uang tunai yang diproses.
Pay on Account,Pembayaran secara kredit
This invoice was sold on credit. The customer owes the full amount.,Faktur ini dijual secara kredit. Pelanggan wajib membayar seluruh jumlahnya.
Partially Paid Invoice,Faktur yang Dibayar Sebagian
This invoice was partially paid. The refund will be split proportionally.,Tagihan ini telah dibayar sebagian. Pengembalian dana akan dibagi secara proporsional.
Cash Refund:,Pengembalian Uang Tunai:
Credit Adjustment:,Penyesuaian Kredit:
Refundable Amount:,Jumlah yang Dapat Dikembalikan:
⚠️ Payment total must equal refundable amount,?? Jumlah total pembayaran harus sama dengan jumlah yang dapat dikembalikan
Return Value:,Nilai Kembalian:
Select Item Variant,Pilih Varian Barang
Select Unit of Measure,Pilih Satuan Ukuran
Choose a variant of this item:,Pilih varian dari item ini:
Select the unit of measure for this item:,Pilih satuan ukuran untuk item ini:
Loading options...,Memuat opsi...
Stock: {0},Stok: {0}
This combination is not available,Kombinasi ini tidak tersedia
Unit of Measure,Satuan Ukuran
No Variants Available,Tidak Tersedia Varian
No Options Available,Tidak Ada Pilihan yang Tersedia
This item template <strong>{0}<strong> has no variants created yet.,Templat item ini <strong>{0}<strong> belum memiliki varian yang dibuat.
No additional units of measurement configured for this item.,Tidak ada satuan pengukuran tambahan yang dikonfigurasi untuk item ini.
To create variants:,Untuk membuat varian:
1. Go to <strong>Item Master<strong> → <strong>{0}<strong>,1. Buka <strong>Master Item<strong> ? <strong>{0}<strong>
"2. Click <strong>""Make Variants""<strong> button","2. Klik tombol <strong>""Buat Varian""<strong>"
3. Select attribute combinations,3. Pilih kombinasi atribut
"4. Click <strong>""Create""<strong>","4. Klik <strong>""Buat""<strong>"
per {0},per {0}
Stock unit,Unit stok
1 {0} = {1} {2},{0} = {1} {2}
Requested quantity ({0}) exceeds available stock ({1}),Jumlah yang diminta ({0}) melebihi stok yang tersedia ({1})
Offers are applied automatically when your cart meets the requirements,Penawaran akan diterapkan secara otomatis ketika keranjang belanja Anda memenuhi persyaratan.
Applied,Terapan
APPLIED,TERAPAN
Waiting for requirements,Menunggu persyaratan
Offer applied: {0},Penawaran diterapkan: {0}
Offer removed: {0}. Cart no longer meets requirements.,Penawaran dihapus: {0}. Keranjang belanja tidak lagi memenuhi persyaratan.
PRICING RULE,ATURAN PENETAPAN HARGA
PROMO SCHEME,SKEMA PROMOSI
Applying...,Menerapkan...
Recent & Frequent,Baru-baru Ini & Sering Terjadi
Frequent Customers,Pelanggan Tetap
Gross Sales,Penjualan Kotor
Net Sales,Penjualan Bersih
Returns,Pengembalian
After returns,Setelah pengembalian
Net tax,Pajak bersih
Net Total:,Jumlah Bersih:
{0} returns,{0} kembali
Type,Jenis
Search items by name or code...,Cari barang berdasarkan nama atau kode...
